asset_url,ext,used_on_pages
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1026x1125_v-fs_webp_bdfd47a2-a4ad-4ba0-9bc1-9ba385e7e4b7.png",png,"/news_contents/sMHFHQeb"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1026x1125_v-fs_webp_bdfd47a2-a4ad-4ba0-9bc1-9ba385e7e4b7.webp",webp,"/news_contents/sMHFHQeb"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1032x374_v-fs_webp_365598aa-2504-4213-b14b-5931ccc97577.webp",webp,"/news_contents/dx_report"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1035x573_v-fs_webp_847728ce-3169-453d-8218-b2b85838c960.jpg",jpg,"/news_contents/S4pDH2FW"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1035x573_v-fs_webp_847728ce-3169-453d-8218-b2b85838c960_small.webp",webp,"/news_contents/S4pDH2FW"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1051x495_v-fs_webp_ca0e0942-2fb2-47bb-b217-34eac03f0e26.jpg",jpg,"/news_contents/hotalux"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1051x495_v-fs_webp_ca0e0942-2fb2-47bb-b217-34eac03f0e26_small.webp",webp,"/news_contents/hotalux"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1051x495_v-fs_webp_fa44b69f-e40f-4493-bb65-14940100118d.jpg",jpg,"/news_contents/digital_kiban"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1051x495_v-fs_webp_fa44b69f-e40f-4493-bb65-14940100118d_small.webp",webp,"/news_contents/digital_kiban"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1062x955_v-fs_webp_cec3d609-cdc3-4247-97cc-cf1539ba5453.jpg",jpg,"/news_contents/digital_kiban"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1062x955_v-fs_webp_cec3d609-cdc3-4247-97cc-cf1539ba5453_small.webp",webp,"/news_contents/digital_kiban"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1066x379_v-fs_webp_38ef3b11-ea07-47d0-b569-cd9384450aea.jpg",jpg,"/news_contents/shimz_sojitz"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1066x379_v-fs_webp_38ef3b11-ea07-47d0-b569-cd9384450aea_small.webp",webp,"/news_contents/shimz_sojitz"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1075x714_v-fs_webp_67d93b2c-20d7-4d32-9a42-9be2e946375a.jpg",jpg,"/news_contents/digital_kiban"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1075x714_v-fs_webp_67d93b2c-20d7-4d32-9a42-9be2e946375a_small.webp",webp,"/news_contents/digital_kiban"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1080x1080_v-fs_webp_7e75f30e-175d-4040-85e3-1f3616cf60a8.webp",webp,"/news_contents/Lt7nhAJW"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1080x1350_v-fms_webp_54a3ca7e-9cc4-4334-8a6c-47c96f9e203d.png",png,"/news_contents/startup_seminar"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1080x1350_v-fms_webp_54a3ca7e-9cc4-4334-8a6c-47c96f9e203d_middle.webp",webp,"/news_contents/startup_seminar"
